"","SC_SEX","BIRTHYEAR","Age","HOURSLEEP05","HOURSLEEP","TOTALHOURS","SCREENTIME","X","X.1","X.2","X.3"
"1",2,2018,1,5,0,5,5,NA,"",NA,NA
"2",1,2003,16,0,6,6,4,NA,"",NA,NA
"3",2,2019,0,0,6,6,3,NA,"",NA,NA
"4",1,2009,10,0,4,4,3,NA,"",NA,NA
"5",2,2015,4,5,0,5,5,NA,"",NA,NA
"6",2,2003,16,0,2,2,4,NA,"",NA,NA
"7",1,2003,16,0,4,4,5,NA,"",NA,NA
"8",1,2019,0,0,0,0,0,NA,"",NA,NA
"9",1,2004,15,0,4,4,4,NA,"",NA,NA
"10",2,2010,9,0,6,6,4,NA,"",NA,NA
"11",2,2018,1,6,0,6,1,NA,"",NA,NA
"12",2,2003,16,0,4,4,3,NA,"",NA,NA
"13",1,2008,11,0,4,4,4,NA,"",NA,NA
"14",1,2006,13,0,4,4,5,NA,"",NA,NA
"15",1,2005,14,0,5,5,5,NA,"",NA,NA
"16",1,2010,9,0,4,4,4,NA,"",NA,NA
"17",2,2014,5,4,0,4,1,NA,"",NA,NA
"18",1,2014,5,5,0,5,3,NA,"",NA,NA
"19",2,2005,14,0,3,3,4,NA,"",NA,NA
"20",1,2015,4,3,0,3,5,NA,"",NA,NA
"21",1,2012,7,0,6,6,2,NA,"",NA,NA
"22",1,2014,5,6,0,6,1,NA,"",NA,NA
"23",1,2004,15,0,5,5,5,NA,"",NA,NA
"24",1,2005,14,0,5,5,3,NA,"",NA,NA
"25",2,2016,3,4,0,4,1,NA,"",NA,NA
"26",2,2002,17,0,3,3,5,NA,"",NA,NA
"27",1,2003,16,0,4,4,5,NA,"",NA,NA
"28",1,2007,12,0,4,4,4,NA,"",NA,NA
"29",2,2014,5,7,0,7,1,NA,"",NA,NA
"30",1,2019,0,7,0,7,1,NA,"",NA,NA
"31",2,2014,5,5,0,5,3,NA,"",NA,NA
"32",1,2004,15,0,4,4,4,NA,"",NA,NA
"33",1,2019,0,0,6,6,5,NA,"",NA,NA
"34",1,2017,2,7,0,7,3,NA,"",NA,NA
"35",1,2013,6,0,3,3,2,NA,"Mean of Total Hours",NA,4.69513811
"36",2,2017,2,7,0,7,5,NA,"Mean of Screen Time",NA,3.081677029
"37",1,2002,17,0,3,3,4,NA,"",NA,NA
"38",2,2014,5,6,0,6,3,NA,"",NA,NA
"39",1,2010,9,0,5,5,2,NA,"",NA,NA
"40",2,2016,3,6,0,6,2,NA,"",NA,NA
"41",1,2001,18,0,3,3,5,NA,"",NA,NA
"42",1,2006,13,0,5,5,3,NA,"",NA,NA
"43",2,2007,12,0,3,3,5,NA,"",NA,NA
"44",1,2016,3,7,0,7,3,NA,"",NA,NA
"45",1,2019,0,0,4,4,1,NA,"",NA,NA
"46",1,2016,3,7,0,7,3,NA,"",NA,NA
"47",2,2014,5,6,0,6,4,NA,"",NA,NA
"48",1,2016,3,7,0,7,2,NA,"",NA,NA
"49",2,2007,12,0,4,4,3,NA,"",NA,NA
"50",2,2013,6,0,6,6,1,NA,"",NA,NA
"51",2,2019,0,0,4,4,2,NA,"",NA,NA
"52",2,2006,13,0,4,4,3,NA,"",NA,NA
"53",2,2015,4,4,0,4,3,NA,"",NA,NA
"54",1,2019,0,6,0,6,1,NA,"",NA,NA
"55",1,2005,14,0,4,4,1,NA,"",NA,NA
"56",2,2009,10,5,0,5,4,NA,"",NA,NA
