SaYoPillow
Observations,sr,rr,t,lm,bo,rem,sr,hr,sl
1,93.8,25.68,91.84,16.6,89.84,99.6,1.84,74.2,3
2,91.64,25.104,91.552,15.88,89.552,98.88,1.552,72.76,3
3,60,20,96,10,95,85,7,60,1
4,85.76,23.536,90.768,13.92,88.768,96.92,0.768,68.84,3
5,48.12,17.248,97.872,6.496,96.248,72.48,8.248,53.12,0
6,56.88,19.376,95.376,9.376,94.064,83.44,6.376,58.44,1
7,47,16.8,97.2,5.6,95.8,68,7.8,52,0
8,50,18,99,8,97,80,9,55,0
9,45.28,16.112,96.168,4.224,95.112,61.12,7.112,50.28,0
10,55.52,19.104,95.104,9.104,93.656,82.76,6.104,57.76,1
11,73.44,21.344,93.344,11.344,91.344,91.72,4.016,63.36,2
12,59.28,19.856,95.856,9.856,94.784,84.64,6.856,59.64,1
13,48.6,17.44,98.16,6.88,96.44,74.4,8.44,53.6,0
14,96.288,26.288,85.36,17.144,82.432,100.36,0,75.72,4
15,87.8,24.08,91.04,14.6,89.04,97.6,1.04,70.2,3
16,52.32,18.464,94.464,8.464,92.696,81.16,5.464,56.16,1
17,52.64,18.528,94.528,8.528,92.792,81.32,5.528,56.32,1
18,86.24,23.664,90.832,14.08,88.832,97.08,0.832,69.16,3

